epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.11528,0.13492,0.0,0.0,0.0,0.12890000000000001,0.1422,0.0,0.050039999999999994,0.054220000000000004,-0.0123187225606263,0.12075872256062631,-0.011560124675198506,0.11164012467519849
8,0.0,0.0,0.12694,0.1346,0.0,0.0,0.0,0.1408,0.1445,0.0,0.052308,0.05706,-0.012833736486183078,0.12695373648618308,-0.011801732927224091,0.1164177329272241
9,0.0,0.0,0.13472,0.13175,0.00989,0.0,0.0,0.14859999999999998,0.14730000000000001,0.0088,0.055272,0.060939999999999994,-0.010177187795918932,0.1320571877959189,-0.008493795031505727,0.11903779503150573
10,0.13465,0.055,0.14832,0.15079,0.12948,0.1416,0.0593,0.1583,0.1557,0.1413,0.12364800000000001,0.13123999999999997,0.09459458555289621,0.16788541444710373,0.08839746842953997,0.15889853157046005
11,0.13338,0.1292,0.1726,0.17048,0.1335,0.1432,0.1424,0.1838,0.1739,0.1414,0.14783200000000002,0.15694,0.1387697385819576,0.1751102614180424,0.1284010778396907,0.16726292216030933
12,0.15211,0.13591,0.19883,0.18,0.14153,0.1552,0.1458,0.2101,0.19390000000000002,0.14730000000000001,0.161676,0.17046,0.1440095482080173,0.1969104517919827,0.13768664769527944,0.18566535230472053
13,0.1645,0.14807,0.21567,0.22921,0.14864,0.1729,0.1664,0.2224,0.23399999999999999,0.1573,0.18121800000000002,0.1906,0.15928668015045355,0.22191331984954643,0.14678028846162977,0.21565571153837026
14,0.19212,0.16469,0.26069,0.28508,0.1746,0.1924,0.1857,0.2702,0.3013,0.1801,0.21543600000000002,0.22593999999999997,0.17597286680226687,0.2759071331977331,0.16709433573406893,0.26377766426593113
15,0.20737,0.17717,0.33711,0.39746,0.19561,0.2181,0.1943,0.3468,0.40590000000000004,0.20440000000000003,0.262944,0.2739,0.18785529069140855,0.3599447093085914,0.17510930762847748,0.35077869237152254
16,0.24992,0.22642,0.40868,0.4219,0.26731,0.26289999999999997,0.247,0.434,0.4424,0.27440000000000003,0.31484599999999996,0.33214,0.24506574203589213,0.41921425796410783,0.23170805111984055,0.39798394888015937
17,0.30137,0.29581,0.45855,0.55587,0.39957,0.3043,0.309,0.4793,0.5592,0.4064,0.402234,0.41164000000000006,0.31321629147405594,0.5100637085259442,0.3039667892733288,0.5005012107266712
18,0.38044,0.34442,0.56444,0.59143,0.47002,0.3765,0.36469999999999997,0.5754,0.6113000000000001,0.4597,0.47015,0.47752,0.3767941066060965,0.5782458933939034,0.372727850157164,0.5675721498428361
19,0.48174,0.43428,0.5706,0.67143,0.53585,0.4671,0.4532,0.6222,0.6944,0.5454,0.53878,0.55646,0.4646783547761318,0.6482416452238681,0.45779737050453356,0.6197626294954666
20,0.56653,0.5056,0.63439,0.6581,0.65606,0.5539999999999999,0.5303,0.6729999999999999,0.7101999999999999,0.6498,0.604136,0.6234599999999999,0.553925387036383,0.6929946129636168,0.5447271216736085,0.6635448783263915
21,0.63195,0.55804,0.73089,0.72698,0.68912,0.6355,0.5801,0.7409,0.747,0.6851999999999999,0.6673959999999999,0.6777399999999999,0.6142426425746708,0.741237357425329,0.6021751031647063,0.7326168968352934
22,0.65926,0.65238,0.71632,0.71111,0.65297,0.6675,0.6423000000000001,0.7539,0.7495,0.7053,0.6784079999999999,0.7037000000000001,0.6596531158877272,0.747746884112273,0.6494323720344147,0.7073836279655851
23,0.73103,0.66262,0.7487,0.73524,0.75185,0.7206,0.6820999999999999,0.7701,0.7890999999999999,0.7522,0.7258880000000001,0.7428199999999998,0.7049923170151804,0.7806476829848192,0.6932961216251656,0.7584798783748345
24,0.74913,0.69396,0.78012,0.76635,0.76112,0.7579,0.7217,0.7987000000000001,0.8037000000000001,0.7897,0.750136,0.77434,0.7435744608368389,0.8051055391631612,0.720338895039954,0.7799331049600461
25,0.7704,0.69364,0.79113,0.7873,0.80624,0.7826000000000001,0.7539,0.8039000000000001,0.8208,0.8034,0.769742,0.79292,0.7699559062882942,0.8158840937117057,0.7300185024702004,0.8094654975297997
26,0.73769,0.74224,0.7989,0.78667,0.78399,0.7944,0.7868,0.8301999999999999,0.8256,0.8058,0.7698980000000001,0.80856,0.7915878345518316,0.8255321654481683,0.7449047181826797,0.7948912818173205
27,0.79454,0.76527,0.81282,0.8073,0.79357,0.8149,0.8055,0.8318000000000001,0.8290000000000001,0.8095,0.7947,0.8181400000000002,0.8076571377954302,0.8286228622045702,0.77824082748131,0.81115917251869
28,0.80724,0.7464,0.78433,0.8,0.80871,0.8231999999999999,0.81,0.8362999999999999,0.8376,0.8261,0.789336,0.82664,0.8166155099880343,0.8366644900119657,0.7661921622888511,0.812479837711149
29,0.81645,0.77518,0.784,0.8054,0.80902,0.8297,0.8162,0.8334,0.8393999999999999,0.8371,0.79801,0.83116,0.8229852584138703,0.8393347415861298,0.7823042380000205,0.8137157619999795
30,0.82312,0.79437,0.80959,0.79302,0.83251,0.8370000000000001,0.8347,0.8495,0.841,0.8467,0.810522,0.84178,0.8361695098253361,0.8473904901746638,0.7949639957578101,0.8260800042421899
31,0.80565,0.78989,0.81833,0.79429,0.79944,0.8492000000000001,0.8432,0.8571,0.8509,0.8432999999999999,0.80152,0.84874,0.8435428469331758,0.8539371530668243,0.7916054732841149,0.8114345267158851
32,0.84312,0.82379,0.82869,0.79587,0.81273,0.8534999999999999,0.8490000000000001,0.8534,0.8537,0.8495,0.8208399999999999,0.85182,0.8497134388212065,0.8539265611787935,0.80499073250904,0.8366892674909598
