epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.01136,0.0,0.0,0.0,0.0,0.0109,0.0,0.0,0.002272,0.00218,-0.00218,0.006540000000000001,-0.002272,0.006816000000000001
8,0.0,0.0,0.12759,0.13287,0.0,0.0,0.0,0.1375,0.14,0.0,0.052092000000000006,0.05550000000000001,-0.012477937597429364,0.12347793759742938,-0.011729254578705973,0.115913254578706
9,0.0,0.11639,0.1326,0.13221,0.08175,0.0,0.1286,0.1437,0.13699999999999998,0.0757,0.09258999999999999,0.097,0.04288504827683943,0.15111495172316058,0.042735415055383315,0.14244458494461668
10,0.0,0.1223,0.14061,0.1543,0.12584,0.0,0.1416,0.15439999999999998,0.1555,0.1352,0.10861000000000001,0.11734,0.05816934511094203,0.17651065488905798,0.05312667421648195,0.16409332578351807
11,0.04535,0.13246,0.15564,0.17441,0.13679,0.050199999999999995,0.1479,0.1741,0.177,0.1466,0.12893,0.13916,0.09290355828643972,0.1854164417135603,0.08456399634855533,0.17329600365144465
12,0.13638,0.15607,0.19038,0.1853,0.14451,0.1427,0.1703,0.2043,0.1905,0.15539999999999998,0.162528,0.17264,0.15018813148087667,0.1950918685191233,0.14087450199159499,0.18418149800840503
13,0.13314,0.16295,0.21343,0.20574,0.17605,0.1481,0.1814,0.2293,0.2036,0.1882,0.178262,0.19012,0.16342847325460758,0.21681152674539245,0.14904839399184003,0.20747560600815998
14,0.15063,0.17475,0.29192,0.2397,0.20953,0.16190000000000002,0.1991,0.29969999999999997,0.2481,0.22329999999999997,0.213306,0.22641999999999998,0.18003265689867548,0.2728073431013245,0.16369570163363253,0.26291629836636743
15,0.16521,0.19836,0.35371,0.28882,0.2681,0.1814,0.2181,0.35960000000000003,0.2892,0.2849,0.25484,0.26664,0.20482425443303298,0.328455745566967,0.18801295128467815,0.32166704871532187
16,0.20538,0.2259,0.46293,0.34158,0.3167,0.2304,0.2416,0.4772,0.3764,0.3489,0.310498,0.33490000000000003,0.2434749706043252,0.42632502939567485,0.2183604010731775,0.4026355989268225
17,0.27924,0.29607,0.55077,0.41246,0.41036,0.2945,0.3041,0.5603,0.42100000000000004,0.4093,0.38978,0.39784,0.3013751753228152,0.49430482467718484,0.29194712761039876,0.48761287238960127
18,0.36799,0.36066,0.60822,0.53248,0.54844,0.3799,0.3796,0.6082,0.5440999999999999,0.547,0.48355800000000004,0.49176000000000003,0.397481972867481,0.5860380271325191,0.38295627906044555,0.5841597209395546
19,0.43149,0.39902,0.62625,0.62216,0.55262,0.4389,0.4181,0.6725,0.6219,0.5827,0.526308,0.5468200000000001,0.4458889264894107,0.6477510735105895,0.4313753726477561,0.6212406273522438
20,0.51247,0.48197,0.67201,0.63798,0.64339,0.5163,0.4918,0.722,0.6639,0.6576000000000001,0.589564,0.61032,0.5203584659979611,0.7002815340020389,0.5126762325463926,0.6664517674536073
21,0.61451,0.58131,0.72779,0.69502,0.6878,0.6248,0.6025,0.7609999999999999,0.7142000000000001,0.7021,0.6612859999999999,0.6809200000000001,0.6221524783575146,0.7396875216424855,0.6067921256286543,0.7157798743713456
22,0.68416,0.61115,0.73881,0.73294,0.69327,0.7126,0.6128,0.7772,0.7490000000000001,0.7579,0.692066,0.7219000000000001,0.6634572074589177,0.7803427925410825,0.6463122265599873,0.7378197734400126
23,0.72206,0.63705,0.7809,0.72239,0.73865,0.7141,0.6459,0.7966,0.7625,0.7704000000000001,0.72021,0.7379,0.6847256828910798,0.7910743171089202,0.6734188251910683,0.7670011748089317
24,0.74182,0.70098,0.78223,0.73986,0.73705,0.7604000000000001,0.7284,0.8066,0.7834,0.7918000000000001,0.740388,0.7741199999999999,0.7467989165661388,0.801441083433861,0.7146306123995465,0.7661453876004536
25,0.76158,0.69311,0.78724,0.79393,0.77341,0.7859999999999999,0.7478,0.8146,0.7995,0.8037000000000001,0.761854,0.79032,0.767170796989961,0.813469203010039,0.7257079835666501,0.79800001643335
26,0.75316,0.7377,0.80929,0.79031,0.75153,0.8138,0.762,0.8227,0.8164,0.8144,0.768398,0.80586,0.7837044047699007,0.8280155952300994,0.7415227895636146,0.7952732104363854
27,0.79041,0.74262,0.81296,0.79624,0.76376,0.8173,0.7672,0.8233,0.8078,0.813,0.7811980000000001,0.80572,0.7857988152962732,0.8256411847037268,0.7562488786527461,0.806147121347254
28,0.79721,0.75246,0.77455,0.7725,0.77341,0.8362999999999999,0.7979999999999999,0.8422,0.8131,0.8287,0.774026,0.82366,0.8075426056696499,0.83977739433035,0.759844512630898,0.788207487369102
29,0.81568,0.76557,0.80461,0.818,0.77277,0.8395999999999999,0.8062999999999999,0.8412000000000001,0.8266,0.8349,0.795326,0.82972,0.8169570222910169,0.8424829777089832,0.773377055059525,0.8172749449404749
30,0.80855,0.78656,0.82365,0.81372,0.81365,0.8399,0.7996,0.8558,0.8349,0.8428,0.809226,0.8346,0.8157858563840923,0.8534141436159077,0.7968807651298163,0.8215712348701837
31,0.8011,0.77803,0.82298,0.79031,0.78339,0.855,0.8195,0.8604,0.8443,0.8425,0.795162,0.8443400000000001,0.8302547452987176,0.8584252547012826,0.7792577346601611,0.8110662653398389
32,0.83997,0.81705,0.85003,0.81075,0.79627,0.8571,0.8169,0.8573999999999999,0.8395999999999999,0.8545,0.8228139999999999,0.8450999999999999,0.8295491800859246,0.8606508199140751,0.8032263165228759,0.842401683477124
33,0.79851,0.79508,0.80995,0.8302,0.83231,0.8609,0.8311,0.8684999999999999,0.8466,0.856,0.81321,0.8526199999999999,0.8397242022348362,0.8655157977651636,0.7976608225297928,0.8287591774702072
