epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.09527,0.10476,0.0,0.0,0.0,0.09949999999999999,0.105,0.0,0.040006,0.0409,-0.00922225054803505,0.09102225054803505,-0.009082960714197237,0.08909496071419723
8,0.0,0.0,0.12596,0.12839,0.0,0.0,0.0,0.1374,0.14400000000000002,0.0,0.05086999999999999,0.05628,-0.012680232018171173,0.12524023201817117,-0.011437510301728473,0.11317751030172846
9,0.0,0.12456,0.13619,0.12903,0.0,0.0,0.1351,0.1456,0.1447,0.0,0.077956,0.08508,0.015515026054773798,0.1546449739452262,0.014197140348967963,0.14171485965103203
10,0.06349,0.1335,0.15121,0.14309,0.00559,0.0559,0.1465,0.1629,0.1534,0.004699999999999999,0.09937599999999999,0.10468,0.04161240451705804,0.16774759548294194,0.043080807452145604,0.1556711925478544
11,0.12761,0.14404,0.1688,0.15746,0.13572,0.14029999999999998,0.1578,0.1807,0.1666,0.14429999999999998,0.146726,0.15794,0.14317347027903982,0.17270652972096018,0.13191891845095732,0.16153308154904267
12,0.13259,0.15905,0.19533,0.18013,0.13605,0.1439,0.17059999999999997,0.2025,0.1869,0.14550000000000002,0.16063,0.16987999999999998,0.14697319751689467,0.19278680248310529,0.1362281377759811,0.18503186222401888
13,0.14753,0.17439,0.23977,0.229,0.14032,0.1629,0.1857,0.24789999999999998,0.23870000000000002,0.1465,0.186202,0.19634000000000001,0.15592150918205877,0.23675849081794126,0.14511330500977185,0.22729069499022816
14,0.17087,0.19163,0.28197,0.26669,0.14229,0.182,0.207,0.2923,0.2958,0.1505,0.21069,0.22552000000000003,0.16675976174316515,0.2842802382568349,0.15620272735766635,0.26517727264233365
15,0.19328,0.22549,0.38747,0.34079,0.15051,0.20829999999999999,0.23929999999999998,0.3957,0.3617,0.1607,0.25950799999999996,0.27314000000000005,0.1827453629909385,0.36353463700906163,0.16961364725189904,0.3494023527481009
16,0.22067,0.28393,0.44022,0.4152,0.1584,0.23739999999999997,0.2945,0.4549,0.45740000000000003,0.1716,0.303684,0.32316,0.20781494202177536,0.43850505797822464,0.19462724145656998,0.41274075854343006
17,0.30128,0.3641,0.48753,0.5091,0.22215,0.30879999999999996,0.3726,0.5022,0.5322,0.23170000000000002,0.376832,0.3895,0.2756900531587858,0.5033099468412142,0.26770308478501215,0.48596091521498785
18,0.37162,0.43245,0.60166,0.5915,0.28229,0.3861,0.45380000000000004,0.6225,0.6207,0.2833,0.45590400000000003,0.47328000000000003,0.3405611332176167,0.6059988667823833,0.33146382118302786,0.5803441788169722
19,0.45814,0.49824,0.61541,0.66049,0.3513,0.45840000000000003,0.5065999999999999,0.6629,0.6858,0.3582,0.5167160000000001,0.53438,0.4102595037070831,0.6585004962929168,0.4057687764024715,0.6276632235975286
20,0.51074,0.57426,0.63907,0.66241,0.47585,0.5329,0.5824,0.6866,0.7136,0.466,0.572466,0.5963,0.5034514782023969,0.6891485217976032,0.5008085022485435,0.6441234977514566
21,0.60068,0.65059,0.71771,0.73044,0.55767,0.6175999999999999,0.6665000000000001,0.7478,0.7448999999999999,0.5496,0.6514179999999999,0.66528,0.5893779209770905,0.7411820790229094,0.5850812477731988,0.7177547522268011
22,0.67445,0.71319,0.71324,0.73491,0.59645,0.6970000000000001,0.7170000000000001,0.7604000000000001,0.7717,0.6511,0.6864480000000001,0.7194400000000001,0.6756480098648167,0.7632319901351835,0.6374069900593392,0.7354890099406609
23,0.73545,0.71862,0.76183,0.75759,0.67861,0.735,0.7241,0.785,0.7929999999999999,0.6766,0.7304200000000001,0.74274,0.7000930024503482,0.7853869975496517,0.7001756153972346,0.7606643846027655
24,0.75973,0.74673,0.77941,0.76781,0.69602,0.7803,0.7605,0.8034,0.8165,0.7206,0.7499399999999999,0.77626,0.7424411531834688,0.8100788468165311,0.72095264965541,0.7789273503445899
25,0.75941,0.73587,0.79763,0.80677,0.74959,0.769,0.7737,0.8248000000000001,0.8157,0.7532,0.769854,0.7872800000000001,0.7593677517924479,0.8151922482075523,0.7422535785539424,0.7974544214460577
26,0.75973,0.77579,0.81362,0.79911,0.744,0.8009000000000001,0.7948999999999999,0.8367,0.8188,0.7828,0.77845,0.8068200000000001,0.7878968501564884,0.8257431498435118,0.7531198559025022,0.8037801440974978
27,0.81046,0.79112,0.81458,0.82913,0.76043,0.8203,0.8079000000000001,0.8417,0.8399,0.7837000000000001,0.8011440000000001,0.8187000000000001,0.7971470883637501,0.84025291163625,0.7774431961317766,0.8248448038682236
28,0.80703,0.78952,0.77717,0.81539,0.79001,0.8323999999999999,0.8209000000000001,0.8504999999999999,0.8464,0.8097,0.795824,0.83198,0.8166811895887295,0.8472788104112706,0.7821864230891261,0.8094615769108738
29,0.83007,0.79176,0.80115,0.81955,0.7864,0.8399,0.8323999999999999,0.8415,0.8281999999999999,0.8214,0.805786,0.8326799999999999,0.8252327454723233,0.8401272545276764,0.7892137429418923,0.8223582570581077
30,0.83038,0.81412,0.82864,0.79974,0.80053,0.8393999999999999,0.8262999999999999,0.8504999999999999,0.8473999999999999,0.8323999999999999,0.814682,0.8392,0.830170935818148,0.8482290641818518,0.8015282075430695,0.8278357924569305
31,0.80454,0.80549,0.81682,0.80901,0.77424,0.8511,0.8375,0.857,0.8561,0.8248000000000001,0.80202,0.8453000000000002,0.832904355603681,0.8576956443963193,0.7874733866484326,0.8165666133515673
32,0.85061,0.8566,0.83184,0.80933,0.79395,0.8540000000000001,0.8487,0.8586,0.856,0.8351999999999999,0.828466,0.8504999999999999,0.8421880808473613,0.8588119191526385,0.8045879627272258,0.8523440372727743
