epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.1102,0.13496,0.00062,0.0,0.0,0.1161,0.145,0.0008,0.049156,0.05238,-0.012097171153827767,0.11685717115382777,-0.011304010453191286,0.10961601045319128
8,0.0,0.0,0.12884,0.13393,0.13877,0.0,0.0,0.138,0.1471,0.1434,0.080308,0.0857,0.0156664080601316,0.1557335919398684,0.014661630595439623,0.14595436940456039
9,0.0,0.0,0.13669,0.13565,0.13877,0.0,0.0,0.146,0.1495,0.146,0.082222,0.0883,0.01619202540633942,0.16040797459366057,0.015080500046543502,0.1493634999534565
10,0.1368,0.09938,0.15631,0.16415,0.13628,0.1419,0.1054,0.1656,0.17420000000000002,0.14529999999999998,0.13858399999999998,0.14648,0.12263085745776171,0.1703291425422383,0.11616402622659873,0.16100397377340123
11,0.1318,0.13735,0.16808,0.18235,0.15432,0.1419,0.1427,0.1778,0.1945,0.1611,0.15478,0.16360000000000002,0.14325104425283697,0.18394895574716308,0.13596993992566744,0.17359006007433256
12,0.15115,0.14198,0.22433,0.18201,0.17984,0.15380000000000002,0.1466,0.226,0.1906,0.19219999999999998,0.17586200000000002,0.18184,0.15298771412868645,0.21069228587131356,0.14701259002336445,0.2047114099766356
13,0.17651,0.16142,0.27077,0.23077,0.22309,0.187,0.1689,0.2637,0.2379,0.23800000000000002,0.21251199999999998,0.2191,0.1837439255572681,0.2544560744427319,0.17315268171322068,0.2518713182867793
14,0.19219,0.17963,0.32309,0.25515,0.2878,0.1963,0.18719999999999998,0.3319,0.2789,0.3012,0.247572,0.2591,0.20151920459041922,0.3166807954095808,0.19268672386878244,0.30245727613121753
15,0.25893,0.18364,0.44833,0.32864,0.36652,0.2612,0.1961,0.44420000000000004,0.33640000000000003,0.3897,0.317212,0.32552,0.23696607518579424,0.4140739248142057,0.22666689667574508,0.4077571033242549
16,0.28195,0.21296,0.5121,0.38221,0.48755,0.2944,0.2216,0.5127,0.4033,0.5226,0.37535399999999997,0.39092000000000005,0.2723378529457322,0.5095021470542679,0.2600886243488531,0.4906193756511468
17,0.38405,0.26759,0.57194,0.43647,0.58058,0.385,0.2762,0.5759000000000001,0.4559,0.6051,0.44812599999999997,0.45962,0.3380384652177807,0.5812015347822193,0.33005075947938955,0.5662012405206104
18,0.47114,0.34043,0.66874,0.55151,0.63286,0.4635,0.35700000000000004,0.6701,0.5504,0.6418,0.532936,0.53656,0.4210788396317391,0.652041160368261,0.41491072192788525,0.6509612780721147
19,0.5669,0.39259,0.67495,0.63942,0.68513,0.5572,0.39159999999999995,0.7123,0.6358,0.7267,0.591798,0.60472,0.4821664786307631,0.727273521369237,0.48391221791542693,0.6996837820845732
20,0.63497,0.48889,0.70569,0.6487,0.71593,0.6264,0.48469999999999996,0.7490000000000001,0.6662,0.7532,0.6388360000000001,0.6559,0.5574919921957567,0.7543080078042433,0.5575845513729141,0.7200874486270861
21,0.68035,0.57037,0.74199,0.71841,0.73367,0.6851999999999999,0.5821999999999999,0.7559999999999999,0.7178,0.7646,0.6889580000000001,0.70116,0.6352583277905637,0.7670616722094363,0.6260037504532061,0.751912249546794
22,0.74074,0.64414,0.75801,0.71532,0.72309,0.7428,0.6491,0.7802,0.7314,0.7873,0.7162599999999999,0.73816,0.6888020989101036,0.7875179010898965,0.6772955038528662,0.7552244961471336
23,0.79046,0.6571,0.78973,0.74107,0.74487,0.7681,0.6568,0.7977,0.7487999999999999,0.7729,0.7446460000000001,0.74886,0.7002626914325495,0.7974573085674505,0.6960484080431963,0.7932435919568039
24,0.79813,0.71173,0.79627,0.76133,0.75513,0.8024,0.7289,0.8162,0.7884,0.8087000000000001,0.764518,0.7889200000000001,0.7575517740380493,0.8202882259619508,0.7328231206659499,0.7962128793340502
25,0.80447,0.70648,0.81426,0.79464,0.79807,0.8008,0.7665000000000001,0.8258,0.7979,0.8210999999999999,0.7835840000000001,0.80242,0.7814015890229542,0.8234384109770458,0.7444576709618702,0.8227103290381299
26,0.7621,0.7429,0.82734,0.79911,0.77256,0.8149,0.7770999999999999,0.8271999999999999,0.812,0.8365,0.780802,0.81354,0.7933120391536863,0.8337679608463138,0.7512885275509641,0.8103154724490359
27,0.80614,0.75247,0.83976,0.82658,0.79652,0.8289,0.7805,0.8438,0.8178,0.8328,0.804294,0.8207599999999999,0.7989806887161232,0.8425393112838767,0.774280427336953,0.8343075726630469
28,0.81615,0.75957,0.78973,0.79705,0.79776,0.8367,0.8014,0.8461,0.8219,0.8464,0.792052,0.8305,0.813439050436743,0.847560949563257,0.7736197083356409,0.8104842916643591
29,0.8365,0.7679,0.82995,0.82727,0.80243,0.8458,0.8029000000000001,0.8449,0.8251000000000001,0.8529000000000001,0.81281,0.83432,0.8160927237361145,0.8525472762638854,0.7875563277917844,0.8380636722082156
30,0.82249,0.80247,0.845,0.81868,0.8211,0.8462000000000001,0.8222,0.8534,0.8358,0.8548,0.8219480000000001,0.8424800000000001,0.8303081636553888,0.8546518363446114,0.8083650704190887,0.8355309295809116
31,0.81014,0.80772,0.81655,0.80632,0.79465,0.8445999999999999,0.8356999999999999,0.8462000000000001,0.8456,0.8466,0.807076,0.84374,0.8396639234550858,0.8478160765449143,0.799941064541287,0.814210935458713
32,0.86253,0.81451,0.85906,0.83379,0.80336,0.8554999999999999,0.8298000000000001,0.8604999999999999,0.8464,0.8617,0.8346499999999999,0.85078,0.8389872225493737,0.8625727774506262,0.8111614249048605,0.8581385750951392
