epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.0,0.0,0.0,0.0,0.02999,0.0,0.0,0.0,0.0,0.0263,0.005998,0.00526,-0.00526,0.01578,-0.005998,0.017994
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.12575,0.0,0.0,0.0,0.0,0.1362,0.0,0.02515,0.027239999999999997,-0.027239999999999997,0.08171999999999999,-0.02515,0.07544999999999999
7,0.0,0.0,0.09812,0.13428,0.0,0.0,0.0,0.1025,0.1466,0.0,0.04648,0.049819999999999996,-0.012770171752440489,0.11241017175244047,-0.011583242761664635,0.10454324276166463
8,0.0,0.0,0.12647,0.13175,0.0,0.0,0.0,0.1401,0.1442,0.0,0.051644,0.05686,-0.012791061729165339,0.12651106172916535,-0.011628758308769825,0.11491675830876982
9,0.0,0.11078,0.13571,0.1387,0.0,0.0,0.12179999999999999,0.146,0.1575,0.0,0.077038,0.08506,0.014659045461016651,0.15546095453898334,0.013393934636448626,0.14068206536355138
10,0.01048,0.13248,0.1424,0.1763,0.12406,0.0101,0.14730000000000001,0.1542,0.17989999999999998,0.1315,0.117144,0.1246,0.06525794071655416,0.18394205928344584,0.06093451553340841,0.1733534844665916
11,0.12671,0.14629,0.15514,0.19021,0.14383,0.1315,0.163,0.1693,0.1948,0.1465,0.152436,0.16102,0.13959185028986404,0.18244814971013595,0.13142243143109672,0.17344956856890326
12,0.14481,0.15943,0.18987,0.20821,0.15508,0.1465,0.17309999999999998,0.20329999999999998,0.21059999999999998,0.16190000000000002,0.17148,0.17908,0.15469767853546346,0.20346232146453652,0.1477619208197628,0.19519807918023718
13,0.13877,0.17521,0.22268,0.26193,0.17962,0.1465,0.19260000000000002,0.2354,0.2713,0.1843,0.195642,0.20602,0.1628479071621493,0.2491920928378507,0.15313612304163107,0.23814787695836895
14,0.15497,0.19428,0.30169,0.31438,0.21575,0.1568,0.21739999999999998,0.321,0.33799999999999997,0.2216,0.236214,0.25095999999999996,0.18264316166566252,0.3192768383343374,0.17428686003697572,0.29814113996302427
15,0.16386,0.21926,0.40618,0.39115,0.23858,0.1679,0.23579999999999998,0.4267,0.4096,0.257,0.283806,0.2994,0.1979265551979238,0.4008734448020762,0.18675266381829012,0.38085933618170986
16,0.2007,0.27482,0.51035,0.47109,0.29789,0.21739999999999998,0.3038,0.5407,0.4976,0.3049,0.35097,0.37288,0.24855302143138844,0.4972069785686115,0.23178260083381297,0.47015739916618704
17,0.28041,0.33366,0.56324,0.57472,0.3439,0.2934,0.35590000000000005,0.5746,0.5893999999999999,0.34909999999999997,0.419186,0.43248,0.30839781110892667,0.5565621888910732,0.2949412120046881,0.5434307879953119
18,0.35694,0.39283,0.64734,0.6278,0.41684,0.3553,0.4269,0.6542,0.6556000000000001,0.42119999999999996,0.48835000000000006,0.50264,0.37579734786752517,0.6294826521324748,0.3648749327191923,0.6118250672808079
19,0.45125,0.49047,0.65053,0.70016,0.50545,0.4499,0.5183,0.7045,0.7151000000000001,0.517,0.559572,0.5809599999999999,0.47284011098784823,0.6890798890121517,0.46212839940970973,0.6570156005902902
20,0.52366,0.56377,0.69672,0.70111,0.55828,0.5189,0.5874,0.7434999999999999,0.7545000000000001,0.5658,0.6087079999999999,0.63402,0.5374992167458221,0.7305407832541779,0.5337682761147333,0.6836477238852665
21,0.58558,0.59895,0.73304,0.75956,0.63736,0.5982999999999999,0.6202000000000001,0.7561,0.7694,0.6342,0.662898,0.67564,0.6034775554737785,0.7478024445262216,0.5922112944889918,0.7335847055110082
22,0.68053,0.70184,0.74992,0.74787,0.68337,0.6868000000000001,0.7212000000000001,0.7841,0.7683,0.7259,0.7127060000000001,0.73726,0.7023582751142584,0.7721617248857416,0.6822581609305357,0.7431538390694644
23,0.74246,0.69395,0.78656,0.75956,0.72938,0.7225,0.7409,0.8048000000000001,0.794,0.7356999999999999,0.742382,0.75958,0.7263423466532307,0.7928176533467693,0.7115226543167228,0.7732413456832772
24,0.75548,0.72156,0.78687,0.80126,0.72052,0.762,0.7781999999999999,0.8073,0.8107,0.7655,0.7571380000000001,0.78474,0.7641830936179589,0.8052969063820411,0.7241526587709026,0.7901233412290976
25,0.76786,0.70874,0.79388,0.8237,0.78357,0.7665000000000001,0.7931,0.8208,0.8248000000000001,0.7996,0.7755500000000001,0.8009600000000001,0.7799215019547499,0.8219984980452504,0.7374936102605621,0.813606389739438
26,0.74278,0.75707,0.80694,0.80379,0.76108,0.7862,0.8108,0.831,0.8301999999999999,0.8212,0.7743319999999999,0.8158799999999999,0.799334982623158,0.8324250173768418,0.7482545143850101,0.8004094856149897
27,0.78914,0.74852,0.8251,0.84487,0.79448,0.8037000000000001,0.7995,0.8354,0.8466,0.8233,0.800422,0.8217000000000001,0.8036605986795571,0.8397394013204431,0.7674340116405985,0.8334099883594014
28,0.80915,0.74753,0.77222,0.81769,0.79925,0.8195999999999999,0.8284999999999999,0.8432999999999999,0.8498,0.8315,0.7891679999999999,0.83454,0.8237833090590088,0.8452966909409911,0.7633401496055129,0.8149958503944869
29,0.82153,0.78501,0.81746,0.84392,0.80709,0.8345999999999999,0.8389,0.8453,0.8542000000000001,0.8464,0.815002,0.8438800000000001,0.8371600595240731,0.850599940475927,0.7957820776276281,0.8342219223723719
30,0.81105,0.79684,0.82542,0.82622,0.82481,0.8373,0.8436,0.8568000000000001,0.8445,0.8484,0.816868,0.84612,0.8397008411766026,0.8525391588233974,0.8053907017116396,0.8283452982883605
31,0.79898,0.79717,0.82001,0.83791,0.79686,0.848,0.8539,0.8563,0.8597,0.8362,0.8101860000000001,0.85082,0.8425729641688665,0.8590670358311335,0.7938293247877205,0.8265426752122796
32,0.84503,0.81328,0.85314,0.83191,0.81766,0.8522,0.8497,0.8686,0.8682,0.8573000000000001,0.8322040000000002,0.8592000000000001,0.8512978483942664,0.8671021516057338,0.8168902511448047,0.8475177488551956
33,0.81613,0.80966,0.83817,0.85877,0.84663,0.8556999999999999,0.8637999999999999,0.8725,0.875,0.8651000000000001,0.8338720000000001,0.86642,0.8595773689270865,0.8732626310729135,0.8154212586598805,0.8523227413401196
34,0.83931,0.8021,0.85824,0.83855,0.84254,0.856,0.8584,0.8765999999999999,0.8698,0.8676999999999999,0.836148,0.8657,0.8581237212300498,0.8732762787699503,0.8176875109490567,0.8546084890509433
35,0.85678,0.76627,0.85155,0.84771,0.8214,0.8649,0.8691,0.8667,0.8748,0.867,0.8287419999999999,0.8684999999999998,0.8650794737247024,0.8719205262752973,0.795207614423401,0.8622763855765987
36,0.83963,0.84254,0.85792,0.84866,0.8698,0.8654000000000001,0.8764,0.8802,0.8748,0.8745,0.85171,0.8742599999999999,0.8693873826335325,0.8791326173664673,0.8407088182452974,0.8627111817547025
37,0.84217,0.81624,0.849,0.84044,0.8623,0.8695,0.8784000000000001,0.8828,0.868,0.868,0.8420300000000001,0.87334,0.8672265394415274,0.8794534605584726,0.8270158360206105,0.8570441639793897
38,0.84757,0.84813,0.86652,0.87014,0.87764,0.8763,0.8748,0.8837,0.8833,0.8792,0.8620000000000001,0.8794600000000001,0.8758685657461122,0.8830514342538881,0.8499012281615035,0.8740987718384967
39,0.86694,0.82742,0.86652,0.80727,0.86605,0.8782,0.8847,0.8845999999999999,0.8865000000000001,0.8761,0.8468399999999999,0.88202,0.877932262239331,0.8861077377606691,0.8219271205999787,0.8717528794000211
40,0.85805,0.8478,0.87608,0.86572,0.86776,0.8784000000000001,0.8894,0.8834000000000001,0.8826,0.8795000000000001,0.863082,0.8826600000000001,0.878810012987035,0.8865099870129652,0.8535253135449572,0.8726386864550428
41,0.86377,0.86686,0.85123,0.86035,0.89298,0.8753,0.8808,0.887,0.8876000000000001,0.8808,0.867038,0.8823000000000001,0.8777463201693576,0.8868536798306426,0.8530499974263657,0.8810260025736343
42,0.85773,0.83826,0.85983,0.89415,0.8698,0.8813,0.8842,0.8859999999999999,0.893,0.8904000000000001,0.863954,0.8869799999999998,0.8827636508683456,0.8911963491316539,0.8457227009788112,0.8821852990211888
43,0.86377,0.83761,0.87162,0.8733,0.87389,0.8802,0.8779,0.8868,0.893,0.8845999999999999,0.8640380000000001,0.8844999999999998,0.8792160620745507,0.889783937925449,0.850335122346018,0.8777408776539821
44,0.87171,0.85799,0.87894,0.88246,0.85208,0.887,0.8909,0.8886,0.8820999999999999,0.8854000000000001,0.8686360000000001,0.8868,0.8838288049542313,0.8897711950457687,0.8568532726417014,0.8804187273582987
45,0.8806,0.83498,0.87862,0.8594,0.85003,0.8839,0.8970999999999999,0.8896,0.8962,0.8829,0.860726,0.88994,0.883996734904112,0.8958832650958879,0.8434390666687235,0.8780129333312765
46,0.87456,0.8478,0.86333,0.85624,0.85242,0.8848999999999999,0.8945000000000001,0.8906000000000001,0.8954000000000001,0.8912,0.8588699999999999,0.89132,0.887618432764355,0.895021567235645,0.8495197914461761,0.8682202085538238
47,0.86504,0.85569,0.84231,0.89479,0.87594,0.8911,0.8946,0.8906999999999999,0.8931999999999999,0.8970999999999999,0.866754,0.8933399999999999,0.8909849203835114,0.8956950796164884,0.8489031797387347,0.8846048202612653
48,0.86567,0.85207,0.88308,0.89605,0.86264,0.8883,0.895,0.8953,0.8954000000000001,0.8945000000000001,0.8719020000000001,0.8937000000000002,0.8909819124370251,0.8964180875629753,0.8562431093624102,0.8875608906375899
49,0.86631,0.84451,0.8576,0.86761,0.87764,0.8898999999999999,0.8954000000000001,0.8976999999999999,0.8967,0.8959,0.862734,0.89512,0.8923964728751121,0.8978435271248879,0.8516234273774931,0.8738445726225069
