epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.0,0.08062,0.0,0.0,0.02837,0.0,0.0758,0.0,0.0,0.0263,0.021798,0.02042,-0.009084060737464601,0.0499240607374646,-0.009598424255000754,0.05319442425500076
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.13621,0.0,0.0,0.0,0.0,0.1414,0.0,0.027242,0.02828,-0.02828,0.08484,-0.027242,0.081726
8,0.0,0.0,0.12411,0.13962,0.0,0.0,0.0,0.1356,0.1458,0.0,0.052746,0.05628,-0.012724069445214606,0.12528406944521459,-0.012040316333003537,0.11753231633300354
9,0.0,0.0,0.13125,0.13807,0.0,0.0,0.0,0.1422,0.1474,0.0,0.053864,0.05791999999999999,-0.013036279496602694,0.12887627949660269,-0.01214090121195547,0.11986890121195548
10,0.00094,0.11824,0.13938,0.17096,0.0,0.0003,0.1266,0.1494,0.1724,0.0,0.08590400000000001,0.08974,0.015169989942336745,0.16431001005766327,0.014156942750242374,0.15765105724975764
11,0.13008,0.13152,0.15075,0.19144,0.13117,0.1419,0.1421,0.1684,0.19870000000000002,0.1388,0.146992,0.15798,0.1349786609085471,0.18098133909145292,0.12347400059528874,0.1705099994047113
12,0.1389,0.14259,0.19688,0.21998,0.13485,0.14529999999999998,0.1525,0.2086,0.2254,0.1463,0.16664,0.17562,0.1413293948726477,0.2099106051273523,0.13165964151127094,0.20162035848872908
13,0.13543,0.15745,0.20305,0.26435,0.1492,0.1481,0.1689,0.2143,0.2713,0.1606,0.181896,0.19263999999999998,0.14740613657888593,0.23787386342111402,0.13483884683493913,0.22895315316506087
14,0.15874,0.20266,0.29467,0.31617,0.16756,0.1698,0.2119,0.3044,0.3367,0.17809999999999998,0.22796,0.24018,0.1722869252427024,0.3080730747572976,0.1626746469719279,0.2932453530280721
15,0.18961,0.22763,0.41845,0.41359,0.17056,0.1973,0.2379,0.4288,0.41869999999999996,0.1864,0.28396800000000005,0.29382,0.186305509813793,0.40133449018620704,0.17458239941198847,0.3933536005880116
16,0.2189,0.29308,0.46491,0.48154,0.21362,0.2345,0.2953,0.4858,0.4991,0.231,0.33441,0.34914,0.2298403000841997,0.4684396999158003,0.2175182209905247,0.45130177900947527
