epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.14552,0.16042,0.153,0.1515,0.16046,0.127,0.1423,0.142,0.1388,0.1331,0.15417999999999998,0.13664,0.13079377044583435,0.14248622955416568,0.1484888419456142,0.15987115805438576
1,0.272,0.30153,0.26223,0.25559,0.26085,0.204,0.245,0.1822,0.1843,0.1552,0.27044,0.19414,0.1643417718647568,0.22393822813524322,0.25401491917828106,0.28686508082171897
2,0.43668,0.43202,0.38565,0.41128,0.37377,0.3675,0.3389,0.2978,0.31420000000000003,0.2475,0.40788,0.31318,0.2727730006063306,0.35358699939366944,0.3830549940584096,0.43270500594159045
3,0.58003,0.58685,0.51051,0.55902,0.50623,0.5323,0.526,0.4533,0.5094,0.4111,0.5485279999999999,0.48642,0.4395805550844163,0.5332594449155837,0.5144530153925199,0.58260298460748
4,0.64984,0.67014,0.63519,0.6598,0.61899,0.6108,0.6315,0.6107,0.6228,0.5553,0.646792,0.60622,0.5795821772661502,0.6328578227338497,0.6287299675562246,0.6648540324437755
5,0.70208,0.70779,0.68667,0.70156,0.67602,0.6808,0.6734,0.6648999999999999,0.6742,0.6225999999999999,0.6948239999999999,0.6631799999999999,0.6422704423767501,0.6840895576232496,0.6831088941959536,0.7065391058040462
6,0.72851,0.72597,0.72358,0.73303,0.72192,0.7095999999999999,0.7039,0.7038,0.708,0.6844,0.726602,0.7019400000000001,0.6928807285061106,0.7109992714938896,0.7226927115737004,0.7305112884262995
7,0.7542,0.75351,0.74353,0.74899,0.73779,0.7393000000000001,0.7340000000000001,0.7241,0.7176,0.7084,0.747604,0.72468,0.7135794774897755,0.7357805225102245,0.7413875521396862,0.7538204478603139
8,0.76312,0.76447,0.7511,0.76617,0.75509,0.7523000000000001,0.7511,0.7509999999999999,0.7544,0.7314,0.7599899999999999,0.7480399999999999,0.7396303388891109,0.756449661110889,0.7541401829088423,0.7658398170911576
9,0.77642,0.76954,0.76661,0.78133,0.76873,0.7585,0.7371,0.7619,0.7681999999999999,0.7509999999999999,0.772526,0.75534,0.7446635586453163,0.7660164413546837,0.7670305742658099,0.7780214257341902
10,0.78555,0.78145,0.77368,0.78366,0.77707,0.7756000000000001,0.7664,0.768,0.7668,0.7631,0.780282,0.76798,0.7638383095238779,0.7721216904761221,0.7759361909844081,0.7846278090155919
11,0.78457,0.79233,0.78375,0.75779,0.78483,0.7787999999999999,0.7731999999999999,0.7759999999999999,0.664,0.7736,0.780654,0.75312,0.7085151392783253,0.7977248607216747,0.7688095859579294,0.7924984140420706
12,0.79524,0.79139,0.78573,0.79422,0.78528,0.7853,0.7809,0.7846,0.7881999999999999,0.7818999999999999,0.790372,0.7841799999999999,0.7815897104408965,0.7867702895591032,0.7862002502471984,0.7945437497528015
13,0.80113,0.8038,0.79022,0.79921,0.79796,0.7959,0.7898999999999999,0.7918000000000001,0.7785,0.7856000000000001,0.7984640000000001,0.78834,0.7824088618292945,0.7942711381707056,0.7938955315476629,0.8030324684523372
14,0.80184,0.8024,0.79124,0.8098,0.78847,0.7963,0.7908,0.7943000000000001,0.8,0.7861,0.7987500000000001,0.7935000000000001,0.7887506842598118,0.7982493157401884,0.7909135263032409,0.8065864736967593
15,0.80535,0.80664,0.7999,0.80672,0.80128,0.8047,0.7986,0.8033,0.8076000000000001,0.7927,0.8039780000000001,0.80138,0.7961556722920551,0.8066043277079449,0.8011355897551551,0.8068204102448451
16,0.80323,0.81255,0.80569,0.80312,0.79871,0.802,0.8092,0.8038,0.8033,0.8029000000000001,0.8046599999999999,0.8042400000000001,0.8016908040483322,0.806789195951668,0.8001183703365421,0.8092016296634578
