epoch,train_acc_1011,train_acc_123,train_acc_42,train_acc_456,train_acc_789,test_acc_1011,test_acc_123,test_acc_42,test_acc_456,test_acc_789,mean_train_acc,mean_test_acc,min_std_train,max_std_train,min_std_test,max_std_test
0,0.19793,0.15239,0.15443,0.16002,0.15987,0.1543,0.1335,0.1422,0.1386,0.1419,0.16492800000000002,0.1421,0.1352428869048265,0.1489571130951735,0.14815770912595733,0.1816982908740427
1,0.26744,0.27681,0.26053,0.28768,0.26753,0.16399999999999998,0.22260000000000002,0.2022,0.2202,0.1843,0.271998,0.19866,0.1764917704811593,0.2208282295188407,0.2626029600320169,0.28139303996798315
2,0.34946,0.42658,0.42936,0.40986,0.41371,0.2148,0.33409999999999995,0.3582,0.3018,0.3344,0.40579400000000004,0.30866000000000005,0.25841915605804383,0.35890084394195626,0.3766731170463532,0.4349148829536469
3,0.45633,0.57373,0.58162,0.51608,0.57327,0.33990000000000004,0.519,0.5485,0.4335,0.5344,0.540206,0.47506000000000004,0.39652229949890316,0.5535977005010969,0.4921446780872602,0.5882673219127397
4,0.54151,0.66344,0.66535,0.63862,0.66176,0.4501,0.6241,0.6423000000000001,0.6025,0.6314,0.634136,0.59008,0.5188897085270752,0.6612702914729249,0.5868162245990115,0.6814557754009886
5,0.62886,0.70227,0.70645,0.68074,0.69622,0.5787,0.6833,0.688,0.6653,0.6718999999999999,0.6829080000000001,0.65744,0.6172566402599285,0.6976233597400715,0.6545100821890055,0.7113059178109946
6,0.6768,0.73324,0.72672,0.72786,0.71697,0.6456000000000001,0.7145999999999999,0.7190000000000001,0.7012,0.6949,0.7163179999999999,0.69506,0.6688342416696866,0.7212857583303134,0.6958735832560573,0.7367624167439425
7,0.70942,0.746,0.74366,0.74395,0.74376,0.6811,0.7412000000000001,0.7365,0.7242000000000001,0.7356,0.7373580000000001,0.7237200000000001,0.7016895301911196,0.7457504698088807,0.7233624915776525,0.7513535084223476
8,0.72463,0.76043,0.75933,0.76254,0.75371,0.7034999999999999,0.7551000000000001,0.753,0.7561,0.7519,0.752128,0.74392,0.7236555088886989,0.7641844911113012,0.7380720796815008,0.7661839203184992
9,0.73747,0.7704,0.77,0.77061,0.76081,0.7225,0.7662,0.7666,0.7681,0.7642,0.7618579999999999,0.7575200000000001,0.7399658096170745,0.7750741903829257,0.7491165065239587,0.7745994934760412
